type_anomalie;code_souche;espece_detectee;fichiers_concernes;feuilles_concernees;exemples_codes_boite;nb_lignes_excel;correction_encadrant;commentaire_encadrant
Même code souche avec plusieurs espèces;AMO-JKA-1;Alatina morandini;Suivi_2024.xlsx;Cubozoa;AMO-JKA-1.06 | AMO-JKA-1.07 | AMO-JKA-1.08;3;;
Même code souche avec plusieurs espèces;AMO-JKA-1;Alatina morandinii;Suivi_2020.xlsx | Suivi_2021.xlsx | Suivi_2022.xlsx | Suivi_2023.xlsx | Suivi_2025.xlsx | Suivi_2026.xlsx;Cubozoa;AMO-JKA-1.01 | AMO-JKA-1.02 | AMO-JKA-1.03 | AMO-JKA-1.04 | AMO-JKA-1.05 | AMO-JKA-1.06 | AMO-JKA-1.07 | AMO-JKA-1.08 | AMO-JKA-1.09;18;;
Même code souche avec plusieurs espèces;ATH-THA-1;Aurelia sp. THAI;Suivi_2025.xlsx;Aurelia;ATH-THA-1.01;1;;
Même code souche avec plusieurs espèces;ATH-THA-1;Aurelia sp.4;Suivi_2026.xlsx;Aurelia;ATH-THA-1.01;1;;
Même code souche avec plusieurs espèces;AVA-TAI-1;Aurelia malayensis;Suivi_2026.xlsx;Aurelia;AVA-TAI-1.01 | AVA-TAI-1.02;2;;
Même code souche avec plusieurs espèces;AVA-TAI-1;"Aurelia sp.2 ""Valentine""";Suivi_2024.xlsx | Suivi_2025.xlsx;Aurelia;AVA-TAI-1.01 | AVA-TAI-1.02;3;;
Même code souche avec plusieurs espèces;CAC-JKA-1;Chrysaoa achlyos;Suivi_2020.xlsx | Suivi_2021.xlsx | Suivi_2022.xlsx;Semaestomeae;CAC-JKA-1.01 | CAC-JKA-1.02 | CAC-JKA-1.03 | CAC-JKA-1.04 | CAC-JKA-1.05;8;;
Même code souche avec plusieurs espèces;CAC-JKA-1;Chrysaora achlyos;Suivi_2023.xlsx;Semaestomeae;CAC-JKA-1.04 | CAC-JKA-1.05;2;;
Même code souche avec plusieurs espèces;CAC-JKA-2;Chrysaoa achlyos;Suivi_2022.xlsx;Semaestomeae;CAC-JKA-2.01;1;;
Même code souche avec plusieurs espèces;CAC-JKA-2;Chrysaora achlyos;Suivi_2023.xlsx | Suivi_2024.xlsx | Suivi_2025.xlsx | Suivi_2026.xlsx;Semaestomeae;CAC-JKA-2.01 | CAC-JKA-2.02 | CAC-JKA-2.03;9;;
Même code souche avec plusieurs espèces;CAC-JKA-2;"Chrysaora chesapeakei ""white""";Suivi_2026.xlsx;Semaestomeae;CAC-JKA-2.04 | CAC-JKA-2.05;2;;
Même code souche avec plusieurs espèces;CCP-TPR-1;Chrysaora chesapeakei;Suivi_2020.xlsx | Suivi_2021.xlsx | Suivi_2022.xlsx | Suivi_2023.xlsx | Suivi_2024.xlsx;Semaestomeae;CCP-TPR-1.01 | CCP-TPR-1.02 | CCP-TPR-1.03 | CCP-TPR-1.04 | CCP-TPR-1.05 | CCP-TPR-1.06 | CCP-TPR-1.07 | CCP-TPR-1.08;16;;
Même code souche avec plusieurs espèces;CCP-TPR-1;"Chrysaora chesapeakei ""white""";Suivi_2025.xlsx | Suivi_2026.xlsx;Semaestomeae;CCP-TPR-1.08 | CCP-TPR-1.09;3;;
Même code souche avec plusieurs espèces;CLH-FVI-1;Clytia hemisphaerica;Suivi_2020.xlsx | Suivi_2023.xlsx | Suivi_2024.xlsx | Suivi_2025.xlsx | Suivi_2026.xlsx;Hydrozoa;CLH-FVI-1.01 | CLH-FVI-1.02 | CLH-FVI-1.03 | CLH-FVI-1.04 | CLH-FVI-1.05 | CLH-FVI-1.06 | CLH-FVI-1.07 | CLH-FVI-1.08;14;;
Même code souche avec plusieurs espèces;CLH-FVI-1;Clytia hemispherica;Suivi_2021.xlsx | Suivi_2022.xlsx;Hydrozoa;CLH-FVI-1.01 | CLH-FVI-1.02 | CLH-FVI-1.03 | CLH-FVI-1.04;6;;
Même code souche avec plusieurs espèces;CNO-JKA-1;Cyanea nozakii;Suivi_2025.xlsx;Semaestomeae;CNO-JKA-1.02 | CNO-JKA-1.03;2;;
Même code souche avec plusieurs espèces;CNO-JKA-1;Cyanea nozakii Kishinouye;Suivi_2020.xlsx | Suivi_2021.xlsx | Suivi_2022.xlsx | Suivi_2023.xlsx | Suivi_2024.xlsx;Semaestomeae;CNO-JKA-1.01 | CNO-JKA-1.02 | CNO-JKA-1.03 | CNO-JKA-1.04;12;;
Même code souche avec plusieurs espèces;LRO-MAL-1;Lobonemoides gracilis;Suivi_2026.xlsx;Rhizostomae;LRO-MAL-1.01;1;;
Même code souche avec plusieurs espèces;LRO-MAL-1;Lobonemoides robustus;Suivi_2025.xlsx;Rhizostomae;LRO-MAL-1.01;1;;
Même code souche avec plusieurs espèces;SMA-JKA-2;Cyanea nozakii Kishinouye;Suivi_2020.xlsx | Suivi_2021.xlsx | Suivi_2022.xlsx;Semaestomeae;SMA-JKA-2.01 | SMA-JKA-2.02 | SMA-JKA-2.03 | SMA-JKA-2.04 | SMA-JKA-2.05 | SMA-JKA-2.06;9;;
Même code souche avec plusieurs espèces;SMA-JKA-2;Sanderia malayensis;Suivi_2023.xlsx;Semaestomeae;SMA-JKA-2.05 | SMA-JKA-2.06;2;;
Même code souche avec plusieurs espèces;SMA-JKA-2;"Sanderia malayensis ""brown""";Suivi_2024.xlsx | Suivi_2025.xlsx | Suivi_2026.xlsx;Semaestomeae;SMA-JKA-2.05 | SMA-JKA-2.06;6;;
Même code souche avec plusieurs espèces;SME-JKA-1;Stomolophus meleagris;Suivi_2020.xlsx | Suivi_2022.xlsx | Suivi_2023.xlsx;Rhizostomae | Rhizostomeae;SME-JKA-1.01 | SME-JKA-1.04 | SME-JKA-1.05 | SME-JKA-1.06 | SME-JKA-1.07 | SME-JKA-1.08 | SME-JKA-1.09 | SME-JKA-1.10;11;;
Même code souche avec plusieurs espèces;SME-JKA-1;Stomolophus sp.2;Suivi_2021.xlsx;Rhizostomae;SME-JKA-1.01 | SME-JKA-1.04 | SME-JKA-1.05;3;;
Même code souche avec plusieurs espèces;THY-FGU-1;Thyroscyphus sp.1 (white);Suivi_2025.xlsx;Hydrozoa;THY-FGU-1.01;1;;
Même code souche avec plusieurs espèces;THY-FGU-1;Thyroscyphus sp.2 (red);Suivi_2025.xlsx;Hydrozoa;THY-FGU-1.01;1;;
Même code souche avec plusieurs espèces;TMU-JKA-2;Tiaropsis multicirrata;Suivi_2022.xlsx | Suivi_2023.xlsx;Hydrozoa;TMU-JKA-2.01 | TMU-JKA-2.02;3;;
Même code souche avec plusieurs espèces;TMU-JKA-2;Tiarropsis multicirrata;Suivi_2024.xlsx | Suivi_2025.xlsx;Hydrozoa;TMU-JKA-2.03;2;;
