code_boite,code_souche,espece,fichier_source,feuille_source
ATH-THA-1.01,ATH-THA-1,Aurelia sp. THAI,Suivi_2025.xlsx,Aurelia
ATH-THA-1.01,ATH-THA-1,Aurelia sp.4,Suivi_2026.xlsx,Aurelia
AVA-TAI-1.01,AVA-TAI-1,Aurelia malayensis,Suivi_2026.xlsx,Aurelia
AVA-TAI-1.01,AVA-TAI-1,"Aurelia sp.2 ""Valentine""",Suivi_2024.xlsx,Aurelia
AVA-TAI-1.01,AVA-TAI-1,"Aurelia sp.2 ""Valentine""",Suivi_2025.xlsx,Aurelia
AVA-TAI-1.02,AVA-TAI-1,Aurelia malayensis,Suivi_2026.xlsx,Aurelia
AVA-TAI-1.02,AVA-TAI-1,"Aurelia sp.2 ""Valentine""",Suivi_2025.xlsx,Aurelia
CCP-TPR-1.08,CCP-TPR-1,Chrysaora chesapeakei,Suivi_2024.xlsx,Semaestomeae
CCP-TPR-1.08,CCP-TPR-1,"Chrysaora chesapeakei ""white""",Suivi_2025.xlsx,Semaestomeae
LRO-MAL-1.01,LRO-MAL-1,Lobonemoides gracilis,Suivi_2026.xlsx,Rhizostomae
LRO-MAL-1.01,LRO-MAL-1,Lobonemoides robustus,Suivi_2025.xlsx,Rhizostomae
OCE-TAI-1.02,OCE-TAI-1,Oceaniidae sp.,Suivi_2026.xlsx,Hydrozoa
OCE-TAI-1.02,OCE-TAI-1,Pennaria disticha,Suivi_2026.xlsx,Hydrozoa
SMA-JKA-2.05,SMA-JKA-2,Sanderia malayensis,Suivi_2022.xlsx,Semaestomeae
SMA-JKA-2.05,SMA-JKA-2,Sanderia malayensis,Suivi_2023.xlsx,Semaestomeae
SMA-JKA-2.05,SMA-JKA-2,"Sanderia malayensis ""brown""",Suivi_2024.xlsx,Semaestomeae
SMA-JKA-2.05,SMA-JKA-2,"Sanderia malayensis ""brown""",Suivi_2025.xlsx,Semaestomeae
SMA-JKA-2.05,SMA-JKA-2,"Sanderia malayensis ""brown""",Suivi_2026.xlsx,Semaestomeae
SMA-JKA-2.06,SMA-JKA-2,Sanderia malayensis,Suivi_2022.xlsx,Semaestomeae
SMA-JKA-2.06,SMA-JKA-2,Sanderia malayensis,Suivi_2023.xlsx,Semaestomeae
SMA-JKA-2.06,SMA-JKA-2,"Sanderia malayensis ""brown""",Suivi_2024.xlsx,Semaestomeae
SMA-JKA-2.06,SMA-JKA-2,"Sanderia malayensis ""brown""",Suivi_2025.xlsx,Semaestomeae
SMA-JKA-2.06,SMA-JKA-2,"Sanderia malayensis ""brown""",Suivi_2026.xlsx,Semaestomeae
SMA-MAU-3.02,SMA-MAU-3,Sanderia malayensis,Suivi_2023.xlsx,Semaestomeae
SMA-MAU-3.02,SMA-MAU-3,"Sanderia malayensis ""white""",Suivi_2024.xlsx,Semaestomeae
SMA-MAU-3.03,SMA-MAU-3,Sanderia malayensis,Suivi_2023.xlsx,Semaestomeae
SMA-MAU-3.03,SMA-MAU-3,"Sanderia malayensis ""white""",Suivi_2024.xlsx,Semaestomeae
SMA-MAU-3.03,SMA-MAU-3,"Sanderia malayensis ""white""",Suivi_2025.xlsx,Semaestomeae
SMA-MAU-3.03,SMA-MAU-3,"Sanderia malayensis ""white""",Suivi_2026.xlsx,Semaestomeae
SME-JKA-1.01,SME-JKA-1,Stomolophus meleagris,Suivi_2020.xlsx,Rhizostomae
SME-JKA-1.01,SME-JKA-1,Stomolophus sp.2,Suivi_2021.xlsx,Rhizostomae
SME-JKA-1.04,SME-JKA-1,Stomolophus meleagris,Suivi_2020.xlsx,Rhizostomae
SME-JKA-1.04,SME-JKA-1,Stomolophus meleagris,Suivi_2022.xlsx,Rhizostomae
SME-JKA-1.04,SME-JKA-1,Stomolophus meleagris,Suivi_2023.xlsx,Rhizostomeae
SME-JKA-1.04,SME-JKA-1,Stomolophus sp.2,Suivi_2021.xlsx,Rhizostomae
SME-JKA-1.05,SME-JKA-1,Stomolophus meleagris,Suivi_2022.xlsx,Rhizostomae
SME-JKA-1.05,SME-JKA-1,Stomolophus sp.2,Suivi_2021.xlsx,Rhizostomae
THY-FGU-1.01,THY-FGU-1,Thyroscyphus sp.1 (white),Suivi_2025.xlsx,Hydrozoa
THY-FGU-1.01,THY-FGU-1,Thyroscyphus sp.2 (red),Suivi_2025.xlsx,Hydrozoa
