id_boite,annee,semaine,date_releve,nombre_polypes,nombre_ephyrules
315,2020,15,2020-S15,,0
388,2021,41,2021-S41,,0
388,2021,42,2021-S42,,0
388,2021,43,2021-S43,,0
252,2021,44,2021-S44,,50
388,2021,44,2021-S44,,0
546,2021,44,2021-S44,,0
388,2021,45,2021-S45,,0
546,2021,45,2021-S45,,0
388,2021,46,2021-S46,,0
546,2021,46,2021-S46,,0
388,2021,47,2021-S47,,0
546,2021,47,2021-S47,,0
388,2021,48,2021-S48,,0
546,2021,48,2021-S48,,0
388,2021,49,2021-S49,,0
546,2021,49,2021-S49,,0
388,2021,50,2021-S50,,0
546,2021,50,2021-S50,,0
388,2021,51,2021-S51,,0
546,2021,51,2021-S51,,0
388,2021,52,2021-S52,,0
546,2021,52,2021-S52,,0
410,2023,1,2023-S01,100,
410,2023,2,2023-S02,200,
410,2023,3,2023-S03,200,
410,2023,4,2023-S04,300,
410,2023,5,2023-S05,300,
410,2023,6,2023-S06,300,
410,2023,7,2023-S07,200,
410,2023,8,2023-S08,250,
410,2023,9,2023-S09,250,
410,2023,10,2023-S10,200,
410,2023,11,2023-S11,200,
410,2023,12,2023-S12,200,
410,2023,13,2023-S13,200,
410,2023,14,2023-S14,200,
410,2023,15,2023-S15,200,
410,2023,16,2023-S16,200,
410,2023,17,2023-S17,300,
410,2023,18,2023-S18,200,
410,2023,19,2023-S19,200,
410,2023,20,2023-S20,200,
410,2023,21,2023-S21,200,
410,2023,22,2023-S22,250,
410,2023,23,2023-S23,200,
410,2023,24,2023-S24,200,
410,2023,25,2023-S25,200,
410,2023,26,2023-S26,200,
410,2023,27,2023-S27,220,
410,2023,28,2023-S28,220,
410,2023,29,2023-S29,220,
410,2023,30,2023-S30,250,
410,2023,31,2023-S31,300,
410,2023,32,2023-S32,300,
410,2023,33,2023-S33,300,
410,2023,34,2023-S34,300,
410,2023,35,2023-S35,300,
410,2023,36,2023-S36,300,
410,2023,37,2023-S37,300,
165,2023,38,2023-S38,200,
410,2023,38,2023-S38,300,
410,2023,39,2023-S39,300,
410,2023,40,2023-S40,300,
410,2023,41,2023-S41,300,
410,2023,42,2023-S42,300,
410,2023,43,2023-S43,300,
410,2023,44,2023-S44,300,
411,2023,44,2023-S44,150,
410,2023,45,2023-S45,300,
411,2023,45,2023-S45,150,
410,2023,46,2023-S46,300,
411,2023,46,2023-S46,150,
410,2023,47,2023-S47,300,
411,2023,47,2023-S47,150,
410,2023,48,2023-S48,300,
411,2023,48,2023-S48,150,
410,2023,49,2023-S49,300,
411,2023,49,2023-S49,200,
410,2023,50,2023-S50,300,
411,2023,50,2023-S50,200,
410,2023,51,2023-S51,300,
411,2023,51,2023-S51,200,
410,2023,52,2023-S52,300,
411,2023,52,2023-S52,200,
410,2024,1,2024-S01,300,
411,2024,1,2024-S01,200,
410,2024,2,2024-S02,300,
411,2024,2,2024-S02,250,
410,2024,3,2024-S03,300,
411,2024,3,2024-S03,300,
410,2024,4,2024-S04,300,
411,2024,4,2024-S04,300,
410,2024,5,2024-S05,300,
411,2024,5,2024-S05,200,
410,2024,6,2024-S06,300,
411,2024,6,2024-S06,200,
410,2024,7,2024-S07,300,
411,2024,7,2024-S07,200,
410,2024,8,2024-S08,300,
411,2024,8,2024-S08,200,
410,2024,9,2024-S09,300,
411,2024,9,2024-S09,200,
410,2024,10,2024-S10,300,
411,2024,10,2024-S10,200,
410,2024,11,2024-S11,300,
411,2024,11,2024-S11,200,
410,2024,12,2024-S12,300,
411,2024,12,2024-S12,200,
410,2024,13,2024-S13,300,
411,2024,13,2024-S13,200,
410,2024,14,2024-S14,300,
411,2024,14,2024-S14,250,
410,2024,15,2024-S15,300,
411,2024,15,2024-S15,200,
410,2024,16,2024-S16,300,
411,2024,16,2024-S16,200,
410,2024,17,2024-S17,300,
411,2024,17,2024-S17,200,
410,2024,18,2024-S18,300,
411,2024,18,2024-S18,300,
410,2024,19,2024-S19,300,
411,2024,19,2024-S19,300,
410,2024,20,2024-S20,300,
411,2024,20,2024-S20,300,
410,2024,21,2024-S21,300,
411,2024,21,2024-S21,300,
410,2024,22,2024-S22,300,
411,2024,22,2024-S22,250,
133,2024,23,2024-S23,,2
410,2024,23,2024-S23,300,
411,2024,23,2024-S23,300,
133,2024,24,2024-S24,,1
410,2024,24,2024-S24,300,
411,2024,24,2024-S24,250,
133,2024,25,2024-S25,,1
410,2024,25,2024-S25,300,
411,2024,25,2024-S25,250,
133,2024,26,2024-S26,,1
410,2024,26,2024-S26,300,
411,2024,26,2024-S26,300,
133,2024,27,2024-S27,,1
410,2024,27,2024-S27,300,
411,2024,27,2024-S27,300,
133,2024,28,2024-S28,,1
410,2024,28,2024-S28,300,
411,2024,28,2024-S28,300,
133,2024,29,2024-S29,,2
410,2024,29,2024-S29,300,
411,2024,29,2024-S29,300,
133,2024,32,2024-S32,,2
410,2024,32,2024-S32,250,
411,2024,32,2024-S32,250,
133,2024,33,2024-S33,,2
410,2024,33,2024-S33,250,
411,2024,33,2024-S33,250,
133,2024,34,2024-S34,,2
410,2024,34,2024-S34,200,
411,2024,34,2024-S34,250,
133,2024,35,2024-S35,,2
410,2024,35,2024-S35,200,
411,2024,35,2024-S35,250,
133,2024,36,2024-S36,,2
358,2024,36,2024-S36,10,
410,2024,36,2024-S36,200,
411,2024,36,2024-S36,300,
133,2024,38,2024-S38,,2
358,2024,38,2024-S38,10,
410,2024,38,2024-S38,200,
411,2024,38,2024-S38,300,
133,2024,39,2024-S39,,2
358,2024,39,2024-S39,10,
410,2024,39,2024-S39,200,
411,2024,39,2024-S39,300,
133,2024,40,2024-S40,,2
358,2024,40,2024-S40,10,
410,2024,40,2024-S40,200,
411,2024,40,2024-S40,300,
133,2024,41,2024-S41,,2
358,2024,41,2024-S41,10,
410,2024,41,2024-S41,300,
411,2024,41,2024-S41,300,
133,2024,42,2024-S42,,2
358,2024,42,2024-S42,10,
410,2024,42,2024-S42,300,
411,2024,42,2024-S42,300,
133,2024,43,2024-S43,,3
358,2024,43,2024-S43,10,
410,2024,43,2024-S43,300,
411,2024,43,2024-S43,300,
133,2024,44,2024-S44,,2
358,2024,44,2024-S44,10,
410,2024,44,2024-S44,300,
411,2024,44,2024-S44,300,
133,2024,45,2024-S45,,4
358,2024,45,2024-S45,0,
411,2024,45,2024-S45,300,
412,2024,45,2024-S45,70,
133,2024,46,2024-S46,,4
358,2024,46,2024-S46,0,
411,2024,46,2024-S46,300,
412,2024,46,2024-S46,30,
133,2024,47,2024-S47,,3
358,2024,47,2024-S47,0,
411,2024,47,2024-S47,300,
412,2024,47,2024-S47,30,
92,2024,48,2024-S48,,8
133,2024,48,2024-S48,,3
358,2024,48,2024-S48,10,
411,2024,48,2024-S48,300,
412,2024,48,2024-S48,30,
92,2024,49,2024-S49,,9
133,2024,49,2024-S49,,3
358,2024,49,2024-S49,10,
411,2024,49,2024-S49,300,
412,2024,49,2024-S49,30,
92,2024,50,2024-S50,,9
133,2024,50,2024-S50,,3
358,2024,50,2024-S50,10,
411,2024,50,2024-S50,300,
412,2024,50,2024-S50,30,
92,2024,51,2024-S51,,9
133,2024,51,2024-S51,,3
358,2024,51,2024-S51,10,
411,2024,51,2024-S51,300,
412,2024,51,2024-S51,30,
92,2024,52,2024-S52,,9
133,2024,52,2024-S52,,2
358,2024,52,2024-S52,10,
411,2024,52,2024-S52,300,
412,2024,52,2024-S52,50,
358,2025,1,2025-S01,10,
358,2025,2,2025-S02,4,
334,2025,20,2025-S20,3,
503,2025,20,2025-S20,1,
504,2025,20,2025-S20,3,
334,2025,21,2025-S21,3,
503,2025,21,2025-S21,0,
504,2025,21,2025-S21,3,
310,2025,22,2025-S22,,0
334,2025,22,2025-S22,3,
504,2025,22,2025-S22,3,
334,2025,23,2025-S23,3,
504,2025,23,2025-S23,3,
334,2025,24,2025-S24,3,
504,2025,24,2025-S24,3,
334,2025,25,2025-S25,3,
504,2025,25,2025-S25,3,
334,2025,26,2025-S26,3,
504,2025,26,2025-S26,3,
334,2025,27,2025-S27,3,
504,2025,27,2025-S27,3,
334,2025,28,2025-S28,3,
504,2025,28,2025-S28,3,
334,2025,29,2025-S29,3,
504,2025,29,2025-S29,3,
334,2025,30,2025-S30,3,
504,2025,30,2025-S30,3,
334,2025,31,2025-S31,2,
504,2025,31,2025-S31,2,
334,2025,32,2025-S32,2,
504,2025,32,2025-S32,2,
334,2025,33,2025-S33,1,
334,2025,34,2025-S34,0,
