controle,valeur
nb_especes,126
nb_souches,194
nb_boites_valides,555
nb_releves,37102
nb_zones_thermiques,6
nb_rangements,37131
doublons_code_espece,0
doublons_code_souche,0
doublons_code_local,0
souches_sans_espece,0
boites_sans_souche,0
releves_sans_boite,0
rangements_sans_boite,0
rangements_sans_zone,0
anomalies_bloquantes_total,1910
validations_metier_total,18343
anomalies_temperature,292
anomalies_codes_boite_non_standards,1618
validations_boites_plusieurs_noms_especes,14
validations_souches_plusieurs_noms_especes,11
validations_codes_especes_plusieurs_noms,16
validations_noms_especes_plusieurs_codes,10
controles_releves_incomplets,264
controles_valeurs_additionnees,58
controles_cellules_bleues_absence_suivi,17
controles_cellules_grises_boite_inexistante,11478
